,prec_no,県,No,i,地点名,block_no,緯度（度、分),緯度（度、分)2,経度（度、分),経度（度、分)2,標高(m)
0,20,北海道,183,1,"""軍艦山""",100,43,28.7,143,7.6,900.0
1,20,北海道,184,2,"""陸別""",101,43,28.1,143,44.3,207.0
2,20,北海道,185,3,"""殖産高地""",102,43,26.1,143,41.7,419.0
3,20,北海道,186,4,"""ぬかびら源泉郷""",103,43,22.0,143,11.5,540.0
4,20,北海道,187,5,"""小坂山""",104,43,23.8,143,29.0,740.0
5,20,北海道,188,6,"""上足寄""",105,43,21.4,143,48.1,384.0
6,20,北海道,189,7,"""西ヌプカウシ山""",106,43,14.5,143,4.2,760.0
7,20,北海道,190,8,"""上士幌""",107,43,14.1,143,18.2,295.0
8,20,北海道,191,9,"""幌安山""",108,43,14.9,143,26.7,440.0
9,20,北海道,192,10,"""足寄""",109,43,14.6,143,33.2,90.0
10,20,北海道,193,11,"""佐幌岳""",110,43,10.5,142,47.1,900.0
11,20,北海道,194,12,"""三角山""",111,43,11.8,142,58.1,560.0
12,20,北海道,195,13,"""本別""",112,43,7.9,143,36.0,67.0
13,20,北海道,196,14,"""新得""",113,43,4.6,142,50.4,178.0
14,20,北海道,197,15,"""鹿追""",114,43,6.2,142,59.7,206.0
15,20,北海道,198,16,"""芽室""",115,42,54.0,143,2.6,90.0
16,20,北海道,199,17,"""帯広""",47417,42,55.3,143,12.7,38.4
17,20,北海道,200,18,"""池田""",117,42,55.2,143,27.5,42.0
18,20,北海道,201,19,"""浦幌""",118,42,48.5,143,39.4,20.0
19,20,北海道,202,20,"""帯広岳""",119,42,44.8,142,56.0,440.0
20,20,北海道,203,21,"""ひょうたん沢""",120,42,35.8,143,3.8,380.0
21,20,北海道,204,22,"""大樹""",121,42,30.0,143,16.4,87.0
22,20,北海道,205,23,"""広尾""",47440,42,17.6,143,19.0,32.4
23,20,北海道,206,24,"""三国山""",1099,43,34.1,143,8.4,940.0
24,20,北海道,207,25,"""駒場""",1204,43,3.0,143,11.0,112.0
25,20,北海道,208,26,"""上札内""",1210,42,38.5,143,5.8,251.0
26,20,北海道,209,27,"""更別""",1211,42,39.1,143,11.7,185.0
27,20,北海道,210,28,"""大津""",1214,42,41.1,143,38.8,4.0
28,20,北海道,211,29,"""糠内""",1286,42,47.2,143,19.7,70.0
29,20,北海道,212,30,"""小利別""",1404,43,35.3,143,40.8,313.0
30,20,北海道,213,31,"""押帯""",1405,43,6.9,143,26.6,104.0
31,20,北海道,214,32,"""柏倉""",1409,43,21.7,143,27.5,378.0
32,20,北海道,215,33,"""上螺湾""",1410,43,19.1,143,48.1,232.0
33,20,北海道,216,34,"""留真""",1418,42,55.0,143,39.7,40.0
34,20,北海道,217,35,"""帯広泉""",1510,42,44.0,143,13.0,149.0
35,20,北海道,218,36,"""三股""",1571,43,30.6,143,8.9,660.0
36,31,青森,284,1,"""障子山""",158,41,16.6,141,5.8,740.0
37,31,青森,285,2,"""むつ""",47576,41,17.0,141,12.6,2.9
38,31,青森,286,3,"""蟹田""",160,41,2.7,140,38.0,5.0
39,31,青森,287,4,"""青森""",47575,40,49.3,140,46.1,2.8
40,31,青森,288,5,"""野辺地""",162,40,53.1,141,9.6,14.0
41,31,青森,289,6,"""鰺ケ沢""",163,40,46.6,140,12.3,40.0
42,31,青森,290,7,"""五所川原""",164,40,48.5,140,27.5,9.0
43,31,青森,291,8,"""深浦""",47574,40,38.7,139,55.9,66.1
44,31,青森,292,9,"""弘前""",166,40,36.7,140,27.3,30.0
45,31,青森,293,10,"""黒石""",167,40,40.0,140,35.1,30.0
46,31,青森,294,11,"""八甲田山""",168,40,40.5,140,51.5,1310.0
47,31,青森,295,12,"""三沢""",169,40,40.5,141,22.5,39.0
48,31,青森,296,13,"""四兵衛森""",170,40,33.1,140,12.4,645.0
49,31,青森,297,14,"""毛無山""",171,40,33.1,140,45.2,940.0
50,31,青森,298,15,"""十和田""",172,40,35.7,141,14.8,42.0
51,31,青森,299,16,"""八戸""",47581,40,31.6,141,31.3,27.1
52,31,青森,300,17,"""大鰐""",174,40,31.8,140,33.3,63.0
53,31,青森,301,18,"""碇ケ関""",175,40,28.9,140,37.2,135.0
54,31,青森,302,19,"""空岱山""",176,40,26.3,140,42.5,585.0
55,31,青森,303,20,"""休屋""",177,40,25.6,140,53.9,414.0
56,31,青森,304,21,"""朝日奈岳""",178,40,19.5,141,2.9,710.0
57,31,青森,305,22,"""三戸""",179,40,23.0,141,15.4,60.0
58,31,青森,306,23,"""今別""",1026,41,10.8,140,28.9,30.0
59,31,青森,307,24,"""六ケ所""",1027,40,53.1,141,16.3,80.0
60,31,青森,308,25,"""大間""",1041,41,31.6,140,54.7,14.0
61,31,青森,309,26,"""大和山""",1042,40,50.9,140,59.1,137.0
62,31,青森,310,27,"""酸ケ湯""",1079,40,38.9,140,50.9,890.0
